review_text,review_classification,review_name,review_type,passenger_name,review_date,source
1. The flight on American Airlines was punctual and the in-flight meals were satisfactory.,Neutral,Unknown,General,Anonymous,,synthetic
"2. Delta Airlines offered a smooth check-in process, but the legroom on the plane was a bit tight.",Neutral,Unknown,General,Anonymous,,synthetic
3. The British Airways flight had a friendly crew and decent in-flight entertainment options.,Neutral,Unknown,General,Anonymous,,synthetic
"4. JetBlue provided a comfortable journey, though the food could have been slightly better.",Neutral,Unknown,General,Anonymous,,synthetic
5. Southwest Airlines offered a fairly reliable service with on-time departures and arrivals.,Neutral,Unknown,General,Anonymous,,synthetic
"6. Lufthansa's long-haul flight was uneventful, with average food and comfortable seating.",Neutral,Unknown,General,Anonymous,,synthetic
7. The flight with Qatar Airways was okay. The cabin was clean and the staff was professional.,Neutral,Unknown,General,Anonymous,,synthetic
8. The Air Canada flight provided a standard experience with a smooth check-in and boarding process.,Neutral,Unknown,General,Anonymous,,synthetic
9. Virgin Atlantic offered a typical flight experience with efficient service and moderate comfort.,Neutral,Unknown,General,Anonymous,,synthetic
"10. Emirates managed to provide an average flight experience, with standard meals and a good selection of entertainment.",Neutral,Unknown,General,Anonymous,,synthetic
"11. The Etihad Airways flight was satisfactory, with the plane departing and arriving on time.",Neutral,Unknown,General,Anonymous,,synthetic
12. The Turkish Airlines flight was generally good with a smooth journey and attentive cabin crew.,Neutral,Unknown,General,Anonymous,,synthetic
"13. Air France provided a comfortable flight, though the in-flight meals were just average.",Neutral,Unknown,General,Anonymous,,synthetic
"14. United Airlines' service was as expected, with punctual flights and decent amenities.",Neutral,Unknown,General,Anonymous,,synthetic
"15. The Cathay Pacific flight was unremarkable but comfortable, and the staff was professional.",Neutral,Unknown,General,Anonymous,,synthetic
"16. The flight with Singapore Airlines was satisfactory, with decent food and a good choice of films.",Neutral,Unknown,General,Anonymous,,synthetic
17. KLM provided a standard flight experience with professional staff and on-time performance.,Neutral,Unknown,General,Anonymous,,synthetic
