review_text,sentiment
"This airport is excellent! The staff was friendly and helpful, and the facilities were clean and modern.",positive
"The airport was terrible. Long lines, rude staff, and dirty bathrooms made for a miserable experience.",negative
"The airport was okay. Nothing special, but it got the job done.",neutral
"The check-in process was smooth and efficient. Security was quick and professional.",positive
"Delayed flights and poor communication from the staff made this a frustrating experience.",negative
"The airport is average. Some good points, some bad points.",neutral
"The duty-free shopping was fantastic and the lounges were very comfortable.",positive
"Overcrowded terminals and slow WiFi made it difficult to work while waiting.",negative
"The airport experience was neither good nor bad. It was just average.",neutral
"The staff went above and beyond to help with my special needs. Very impressed!",positive 
