review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_sentiment
Berlin Tempelhof,airport,Jens Mueller,2005-03-21,Oldest airport that is still in use but great The mother of all airports has an impressive architecture huge size and is very close to the city Unfortunately SN Brussels airlines is the only largest airline flying there together with some local airlines Unfortunately they want to close it in the next years but the building will not be destroyed,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sarajevo,airport,I Hodzic,2011-07-03,Not much to complain about nowadays there is bus service offered by Centrotrans bus company and GRAS as well from airport to down town Personnel at checkin counter need to be more friendly for example our flight to GOT via BUD was cancelled by Malev but we were issued tickets to fly with Austrian and people at checkin counter were making faces exhaling loudly while printing boarding passes for flight via VIE,4.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
London City,airport,Ashley Dickson,2019-11-15,Avoid at peak times security is a mess Gone are the days of the minute check in and smooth easy journey This used to be my go to airport due to the ease of transit Such a shame they have added so much flight capacity and not matched it with security,3.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Anchorage,airport,41 reviewsAnurag Dave,2016-08-01,When I landed in Anchorage late at night the first thing I noticed was how busy the terminal was I was really hungry after a long hour flight from LAX so the first thing I did was grab something to eat from Cinnabon one of many restaurants at this airport Baggage claim experience was smooth Taxi was readily available outside for transportation to hotel While returning back I had a very smooth checkin and security experience If you enjoy watching beautiful scenery and planes Anchorage will not disappoint As you walk around the terminal you will notice many photo opportunities both inside and outside the terminal,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Cambodia Angkor Air,airline,M Ward,2019-12-14,Siem Reap to Da Nang I purchased a flight without baggage I purchased baggage separately for AU with great difficulty via the Cambodia Angkor Air website I received the receipt on Messenger The receipt could not be located at Siem Reap airport I was forced to then pay US to get my luggage on board I have emailed the airline with the receipt and transcript but there has been no response On board I had never seen a refreshment trolley pushed along the aisle with such speed allowing nobody the opportunity to obtain a drink,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Mihin Lanka,airline,C Carmody,2016-01-08,I usually fly budget so dont expect too much Had my first flight with Mihin Lanka from Chennai to Colombo Plane was not new but Im glad the flight was only hour as the seats felt like they had lost all their padding The flight went smoothly except the Stewards did not offer any option to purchase refreshments It may seem unnecessary on a short flight except by the time you have got to the airport and followed all procedures a few hours have ticked over and some refreshments would come in handy Probably what concerned me most was the fellow passenger pouring a hot drink from his flask to his wife How did that get through security There was someone on his mobile phone as we were landing The other fellow who grabbed his luggage and made his way to the front door before the plane had stopped,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Weeze,airport,6 reviewsMax Meijer,2023-07-12,It is an efficiently run small low cost carrier hub As long as you consider it as such it is appropriate and convenient I see it more as a kind of bus stop for airplanes to a limited number of countries Parking is great and affordable an in walking distance to the terminal Guess total distance from car door to plane door is appx metres Services are limited and foodshops overpriced Big airport prices here on this small airfield Boarding procedures check in and security OK Kind staff,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Louisville,airport,41 reviewsW Jones,2019-10-11,Louisville is actually one of the nicest airports in the United States poundforpound In fact Louisville on steroids gives you an idea of what more of our true international gateways should look like but dont I mean Detroit and Minneapolis are good but LAX and JFK Ill start with the good about Louisville Parking is easy and reasonably priced So easy in fact that its literally at the back door of the terminal and nicely covered for all those inclement weather situations The airport is super clean The personnel are aboveaverage in friendliness some of the security and restaurant staff could learn to smile but its hard for me to recount any particularly rude experiences with personnel The terminal is very Louisville and Kentuckythemed making the airport an unmistakable part of the state of Kentuckys cultural identity Security is usually a breeze even if you dont have TSA PreCheck which I have Its almost immediately next door to the state fairgrounds minutes from downtown and minutes from serene natural areas like Jefferson Memorial Forest The terminals are straightforward and wellsigned The public art is very localspecific and themed and attractively positioned As a bonus the airport is UPS primary North American hub so its neat to see the massive cargo planes regularly flying in and out of there The real drawbacks of flying into and out of Louisville are that baggage claim takes a little longer than it should for a relatively small airport and you have to pay close attention to signage right as youre driving off the property to access the freeways and fairgrounds In summary Its hard to go wrong with flying in and out of Louisville Ive been doing it for years and it just feels almost like putting on a comfortable pair of shoes,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Palm Beach,airport,Brian Markey,2022-09-03,Great airport Easy to park easy to get to terminal and fast security Beats almost every other larger airport I have been to Not much to do but you wont be there long anyway,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
CSA Czech Airlines,airline,4 reviewsDavid Cerny,2020-01-10,Prague to Copenhagen Flight was operated by Czech Airlines A reg OKMEL not with lowcost Smartwings like almost all other CSA flights Departure was delayed only about minutes we arrived on time Staff was nice and friendly Ordered food was so expensive CZK but delicious Aircraft was clean and seats were comfortable,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Petroleum Air Services,airline,N Batchelor,2011-01-07,SSHLXRSSH Dash Q A bit dubious as I had never heard of this Egyptian carrier and the name doesnt inspire a great deal of confidence but I was pleasantly surprised A new aircraft on this short minute flight comprehensive safety demo in English that was understandable Complimentary juice and a small snack provided I would not hesitate to use this airline again,8.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Felix Airways,airline,Emil Schmid,2011-04-16,Sharjah via Mukhalla to Socotra and back onboard nearly full Yemeni Bombardier CRJ plane Check in at Sharjah was a bit chaotic due to much luggage boarding the plane was guided by the station manager personally in Sharjah as there wasnt any seat allocation They have an inflight magazine During the hour flight to RIY a snack was served Crew very nice on the return flight leaving SCT the captain even explained everything what was visible from the windows The plane was in a good shape at least what was visible clean and tidy,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
TACA Airlines,airline,Georgios S Vrontos,2016-01-11,Flew TACA Airlines from Lima to Bogota Only the outside of the aircraft and the food carriage were TACA The rest magazine and crew were Avianca Food service for the and a half hour flight was great full meal Full service of drinks juices beers alcoholic I would fly with them again,7.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bournemouth,airport,S Pinchbeck,2024-09-29,I would like to say a huge thank to Yasmin who went to great lengths to find us a new flight the same day but from Bristol airport flight missed just Start of holiday delayed by hours only her professional and helpful support was greatly appreciated Thank you again,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Rovaniemi,airport,W De Lange,2025-01-04,This airport is clearly not equipped to take the number of pax departing after the winter break Check in was too crowded so we had to wait on another floor Conveyer belt at check in blocked by heavy usage Boarding never indicated on screens but was only announced via PA system Shambles Shame as we had such a great time in Finland,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
TACV Cabo Verde Airlines,airline,Georgios Vrontos,2024-01-29,Unprofessional but aircraft is new and clean They cancelled my flight replaced with one with stopover and to change it for a flight on the same day took me a lot of emails to do it New flight was on Lisbon to Sal via Praia they issued tickets to Lisbon to Praia then they corrected it and then my reservation was appearing on a different date Finally after a month of exchanging emails they got it right On their site there is web checkin but is not working They want physical checkin to make sure you preregistered to enter the country and paid euro to do it They have often delays but our flight was on time because aircraft arrived to Lisbon on time Plane BM was new and clean front rows have great legroom Crew was friendly There was no IFE but inflight service was good and sandwich was tasty,5.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Chattanooga Metropolitan,airport,Jalaal Elasmar,2005-01-17,One of the easiest domestic airports to figure out Just a couple of restaurants but each one has great selection of food Theyve been getting better flights and it is transitioning to more of a transit type airport Staff is scarce but ticket counters are fast to checkin and the security line is real quick minutes at the most I now start my journey to any destination from here,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Melbourne Avalon,airport,Tim Costello,2012-10-13,Living in Geelong this airport is great mins from my parents place and traffic is rarely a problem Check in is quick quicker with no bags check in online the night before stroll through security and a short walk onto the plane Only criticism is that the airport is small gates and only bar cafe and newsagents Hopefully with the new International terminal theyre cleared to build theyll upgrade the domestic terminal too,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Srinagar,airport,V Gainey,2006-10-04,On the understanding that Srinagar being the capital of Indian administered Kashmir is at the centre of one of longest running conflicts in the world then one should expect a particularly unique experience regarding airport security Srinagar airport in this respect does not disappoint On arrival on Jet Airways from Delhi one is immediately struck by the fact that this is a military airfield masquerading as a civilian airport MiG fighters and helicopter gunships abound at the far end of the airfield and all buildings are camoflauge painted The odd civilian Boening looks incongruous For arriving foreigners you are accosted by a security official fairly politely it must be said to fill in a long registration document He then accompanies you out of the arrival and baggage collection hall on a dirt track to the carpark to ensure you are being met by whoever you had claimed you were on the form Only then can you be on your way If you are not being met I am not sure what your fate would be Departure though is an object lesson in airport security The first hurdle is a kilometer or so before the airport terminal where you are stopped at a roadblock and put your luggage through an xray machine Entering the airport and only passengers are allowed not guests or friends you again put bags through another xray sceeening Then you are allowed to go to check in after which you must as a foreigner fill out another lengthy departure registration form for the police No hand luggage whatsoever is allowed on Delhi bound flights so all you can carry is what you can fit in your pockets therefore travel with a multipocket vest or similar to maximise carry on potential Hand carried clear plastic water bottles do suprisingly seem OK though to carry on The waiting area after check in is basic but OK as long as you dont mind being stared at suspiciously by numerous armed army and poice men Then there is another long queue for a more detailed security check which involves turning out all pockets and being individually scanned Finally you are through to the actual departure area but this is not the end After being released to go out on foot to your waiting Boeing you again go through another security check all pockets and a patdown before eventually you board the plane Great views of the Himalayas to the north on the flight out but since cameras are not allowed on board the memories stay in your mind and not on film,0.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Derry,airport,Paul Devine,2014-11-12,Great Airport used it for a Ryanair flight to Stansted Small highly efficient great bar restaurant and shops A breeze to get through am going to use again Wish they were all like this,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
