review_text,review_classification,review_name,review_type,passenger_name,review_date,source
"1. ""The flight with Airline A was punctual and efficient. The in-flight meal was acceptable but nothing extraordinary.""",Neutral,Unknown,General,Anonymous,,synthetic
"2. ""My experience with Airline B was decent. The cabin crew was professional and attentive.""",Neutral,Unknown,General,Anonymous,,synthetic
"3. ""Airline C's services met my expectations. The leg room was just enough for a comfortable journey.""",Neutral,Unknown,General,Anonymous,,synthetic
"4. ""Airline D offered a smooth flight with a few minor turbulence. The in-flight entertainment was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"5. ""My journey with Airline E was satisfactory. The cleanliness of the aircraft could be improved though.""",Neutral,Unknown,General,Anonymous,,synthetic
"6. ""Airline F provided adequate service with on-time departure and arrival. The in-flight meal options could use some variety.""",Neutral,Unknown,General,Anonymous,,synthetic
"7. ""The flight with Airline G was comfortable. The check-in process was fairly quick and efficient.""",Neutral,Unknown,General,Anonymous,,synthetic
"8. ""My experience with Airline H was standard. The economy seating was somewhat cramped but manageable for a short flight.""",Neutral,Unknown,General,Anonymous,,synthetic
"9. ""Airline I's flight was acceptable. The cabin crew was polite but the in-flight services were nothing out of the ordinary.""",Neutral,Unknown,General,Anonymous,,synthetic
"10. ""The flight with Airline J was on schedule. The in-flight entertainment had a reasonable selection.""",Neutral,Unknown,General,Anonymous,,synthetic
"11. ""Airline K offered a satisfactory flight experience. The food was okay, and the seating was comfortable enough.""",Neutral,Unknown,General,Anonymous,,synthetic
"12. ""My flight with Airline L was acceptable. The boarding process was smooth, but the in-flight meal was slightly disappointing.""",Neutral,Unknown,General,Anonymous,,synthetic
"13. ""Airline M provided a smooth journey. The legroom was a bit tight, but the flight was punctual.""",Neutral,Unknown,General,Anonymous,,synthetic
"14. ""The service on Airline N was adequate. The cabin crew was professional, but the food was just average.""",Neutral,Unknown,General,Anonymous,,synthetic
"15. ""Flying with Airline O was a decent experience. The seats were comfortable, but the in-flight entertainment options were limited.""",Neutral,Unknown,General,Anonymous,,synthetic
"16. ""Airline P's flight was acceptable. The check-in and boarding process was efficient, but the food could be improved.""",Neutral,Unknown,General,Anonymous,,synthetic
"17. ""The flight with Airline Q was satisfactory. The cabin was clean, and the flight left on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"18. ""Airline R provided an average flying experience. The crew was polite, but the in-flight entertainment could be better.""",Neutral,Unknown,General,Anonymous,,synthetic
"19. ""My experience with Airline S was satisfactory. The flight was punctual, but the food quality was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"20. ""Airline T's services were standard. The flight was comfortable, but the variety in in-flight meal options was limited.""",Neutral,Unknown,General,Anonymous,,synthetic
"1. ""Flight was on time with Delta Airlines and the service was satisfactory. The food was decent and the seating was comfortable enough for a short haul flight.""",Neutral,Unknown,General,Anonymous,,synthetic
"2. ""The British Airways flight was quite full but managed to leave on time. The in-flight entertainment options were good, but the food was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"3. ""American Airlines provided a smooth check-in process and the flight landed on time. The cabin crew was professional and efficient.""",Neutral,Unknown,General,Anonymous,,synthetic
"4. ""The United Airlines flight was mostly uneventful. The plane was a bit old but well-maintained and the flight was on schedule.""",Neutral,Unknown,General,Anonymous,,synthetic
"5. ""The Lufthansa flight was fairly comfortable with adequate legroom. The food could have been better, but the service was efficient.""",Neutral,Unknown,General,Anonymous,,synthetic
"6. ""Emirates provided a standard flight experience with no major issues. The cabin was clean and the in-flight entertainment was satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"7. ""The Air France flight was average with usual service and facilities. The flight attendants were polite and the flight was punctual.""",Neutral,Unknown,General,Anonymous,,synthetic
"8. ""My Southwest Airlines flight was on time. The seats were a bit cramped but the cabin crew was friendly and attentive.""",Neutral,Unknown,General,Anonymous,,synthetic
"9. ""The JetBlue flight was fine with a smooth take-off and landing. The in-flight meal could use some improvement.""",Neutral,Unknown,General,Anonymous,,synthetic
"10. ""The Singapore Airlines flight provided an average experience. The legroom was sufficient and the food was fairly good.""",Neutral,Unknown,General,Anonymous,,synthetic
"11. ""My flight with Qantas was reasonable. The plane left and arrived on time with no significant issues.""",Neutral,Unknown,General,Anonymous,,synthetic
"12. ""The Ryanair flight was decent. The plane was clean and the staff was professional.""",Neutral,Unknown,General,Anonymous,,synthetic
"13. ""The Turkish Airlines flight was uneventful. The seats were comfortable and the service was routine.""",Neutral,Unknown,General,Anonymous,,synthetic
"14. ""My Virgin Atlantic flight was satisfactory. The in-flight entertainment was diverse and the flight was smooth.""",Neutral,Unknown,General,Anonymous,,synthetic
"15. ""The Cathay Pacific flight was decent with no delay. The food was mediocre but the cabin crew was friendly.""",Neutral,Unknown,General,Anonymous,,synthetic
"16. ""The Aeroflot flight was typical. The service was professional and the plane was clean.""",Neutral,Unknown,General,Anonymous,,synthetic
"17. ""My Air Canada flight was average. The check-in process was smooth and the flight was on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"18. ""The KLM flight was reasonable. The plane was a bit old but the service was okay.""",Neutral,Unknown,General,Anonymous,,synthetic
"19. ""The Iberia flight was fine. The food was average and the seats were comfortable enough for the journey.""",Neutral,Unknown,General,Anonymous,,synthetic
"20. ""My flight with Etihad Airways was fairly standard. The service was efficient and the flight landed on time.""",Neutral,Unknown,General,Anonymous,,synthetic
1. American Airlines provided a satisfactory service. The flight was on time and the staff was fairly professional.,Neutral,Unknown,General,Anonymous,,synthetic
"2. United Airlines was comfortable enough for the long flight. The in-flight entertainment could use some updates, but the food was decent.",Neutral,Unknown,General,Anonymous,,synthetic
"3. The Delta Air Lines flight was okay for the price. The seats were somewhat cramped, however, the flight arrived on time.",Neutral,Unknown,General,Anonymous,,synthetic
4. Southwest Airlines offered a smooth check-in process. The flight was pleasant with minimal turbulence.,Neutral,Unknown,General,Anonymous,,synthetic
"5. British Airways offered an average experience. The flight departed and arrived as per schedule, and the staff was reasonably polite.",Neutral,Unknown,General,Anonymous,,synthetic
6. Emirates provided a fairly comfortable journey. The food was alright and the cabin crew was attentive.,Neutral,Unknown,General,Anonymous,,synthetic
7. The Lufthansa flight was on time and the food was acceptable. The in-flight entertainment had a good variety.,Neutral,Unknown,General,Anonymous,,synthetic
8. Air France's service was standard. The cabin was clean and the in-flight meal was satisfactory.,Neutral,Unknown,General,Anonymous,,synthetic
9. The flight with Qatar Airways was decent. The legroom was adequate and the staff was professional.,Neutral,Unknown,General,Anonymous,,synthetic
"10. Virgin Atlantic provided a routine service. The flight was on time, and the snacks provided were average.",Neutral,Unknown,General,Anonymous,,synthetic
"11. Spirit Airlines was basic but functional. The flight was on time, though the seat comfort could be improved.",Neutral,Unknown,General,Anonymous,,synthetic
12. The JetBlue flight was satisfactory. The staff was competent and the flight landed on time.,Neutral,Unknown,General,Anonymous,,synthetic
"13. Turkish Airlines offered a decent in-flight experience. The meal served was average, but the flight was punctual.",Neutral,Unknown,General,Anonymous,,synthetic
14. Air Canada's service was standard. The cabin crew was professional and the flight was on time.,Neutral,Unknown,General,Anonymous,,synthetic
15. The KLM flight was fine. The seats were comfortable enough for a short haul flight.,Neutral,Unknown,General,Anonymous,,synthetic
16. Cathay Pacific offered an acceptable service. The flight was on time and the crew was friendly.,Neutral,Unknown,General,Anonymous,,synthetic
"17. The Ryanair flight was average. The seating was a bit cramped, but the service was efficient.",Neutral,Unknown,General,Anonymous,,synthetic
"18. The EasyJet flight was decent. Despite the limited legroom, the flight departed and arrived on time.",Neutral,Unknown,General,Anonymous,,synthetic
"19. The Singapore Airlines flight was okay. The food could be improved, but the staff was polite.",Neutral,Unknown,General,Anonymous,,synthetic
20. The Etihad Airways flight was satisfactory. The seats were comfortable and the in-flight entertainment was decent.,Neutral,Unknown,General,Anonymous,,synthetic
