review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,label_agreement_level,source,predicted_classification
Hangzhou,airport,Thorkild Lykke,2007-07-16,New airport opened around  and much better than the old airport at the military airbase Plenty of checkin counters and smooth handling in security check First class lounge good As most Chinese airports it is noisy from continuous announcements,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Copenhagen,airport,Yu-Hsiu Chang,2023-10-28,It is easily accessible from the city center by metro within  minutes It is clean and modern Employees are friendly and helpful Signposts are clear Goods are bountiful,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Vientiane,airport,Rob Boyce,2009-07-14,Arrived from Bangkok on Thai flight and still bussed to the terminal in June  Queues for visa on arrival handled relatively quickly and luggage handling dealt with promptly and efficiently Friendly staff with a relaxed atmosphere,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Atlantic Airways,airline,C Perkin,2011-08-23,Flew to Vagar Faroe Islands Smooth flight lasting  hrs  mins each way Flight attendants were friendly and efficient Seats comfortable and spacious adequate storage space for inflight luggage Free snacks served as well as alcoholic and nonalcoholic drinks,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Air Corsica,airline,Georgios Vrontos,2020-08-24,You can change your seats at echeck in without charge Both flights were on time Aneo was clean there were no inflight service for the  hour flight Stewards were efficient and friendly enough,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
TransAsia Airways,airline,M Wharfe,2010-12-04,Taipei  Hualein  TaiChung Both flights by ATR cabin was clean and comfortable Very friendly crew Drinks service on both flights,6.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Air Corsica,airline,Georgios Vrontos,2020-08-24,You can change your seats at echeck in without charge Both flights were on time Aneo was clean there were no inflight service for the  hour flight Stewards were efficient and friendly enough,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Toulon,airport,19 reviewsLaurent Charpentier,2018-10-22,Departed on  october  to Paris Orly abd back on  October  Airport very clean opened early in the morning Check In and Security Checks are easy early in the morning,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Rotterdam,airport,Manuel Fernandez,2007-11-23,Good shopping for such a small airport Clean and clear Cheap car parking compared with Schiphol When arriving plane parked in front of terminal and was outside the building with my checked bag in  minutes,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Jetstar Pacific,airline,Anders Pedersen,2020-01-04,Hong Kong to Hanoi Regional flight Hong Kong toHanoi  January  on an A aircraft Ticket included free services and luggage Hot meal given was OK Flight full on time Nice clean aircraft Seats were good but space to front seat was horrible and extremely tiny small de facto painful to knees CheckIn in Hong Kong was quick and easy though my handluggage was double the limit Checked in luggage arrived smoothly checked by customs in Hong Kong who had left a note inside the bag Airbridge provided at both ends,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Vientiane,airport,Rob Boyce,2009-07-14,Arrived from Bangkok on Thai flight and still bussed to the terminal in June  Queues for visa on arrival handled relatively quickly and luggage handling dealt with promptly and efficiently Friendly staff with a relaxed atmosphere,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Rossiya Airlines,airline,Aleksandra Karepin,2019-10-23,Flying from Saint Petersburg to Prague Rossiya is providing an excellent service punctuality in time  Professional cabin crew working so hard they accept Aeroflot points highly recommended I believe the company should be at least categorized as a Star airline,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Valladolid,airport,Karel Hladky,2008-07-25,A very tiny airport at  km to Valladolid Only a little number of flights a restaurant and a drinks and snacks machine Clean safe and quiet,0.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Damascus,airport,Ralph Loehner,2009-09-14,It is not the most beautiful airport in the world but not the worst I always found it OK  speed to checkin pass passport control is OK Shopping cheap and wide range of products  VIP Lounge comfortable but old fashioned The information system is getting better and friendliness of officials is good,3.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Air Nostrum,airline,B Jonas,2020-02-16,Madrid to Toulouse Once again a punctual and comfortable flight Good legroom on time departure and arrival On flight entertainment was however not working  you have to pay for anything on board,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Rotterdam,airport,Manuel Fernandez,2007-11-23,Good shopping for such a small airport Clean and clear Cheap car parking compared with Schiphol When arriving plane parked in front of terminal and was outside the building with my checked bag in  minutes,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Detroit,airport,Michelle Prephan,2023-07-14,Detroit Metro is always clean convenient and well maintained Staff is usually pleasant and helpful We travel through DTW about  times per year and we have always had a positive experience,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
China Airlines,airline,K Pellberg,2024-11-27,Lovely crew Very clean plane and rather comfy seating The seat belt  sign was on most of the flight although not much turbulence Quite many announcements The food was fine but wine glasses very small,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Baku,airport,Mohamed Roshan Arakkal,2018-09-17,Free WiFi cleanliness and planning are good Queue for security and immigration took around  minutes Should deploy more staff for this purposes Restaurants after check in are less and with no good choice,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Hakodate,airport,12 reviewsK Huang,2024-05-05,Small airport which was about  minutes on bus to the city center Facilities was good and clean Baggage claim was fast and thoughtful as at many other Japanese airports Signs and directions were also clearly noted in English,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Tontouta,airport,A McNicol,2013-05-05,Arrived on full QF from Sydney on  April Fantastic new airport that does credit to New Caledonia Clean modern and very quick from a full plane to bus transfer to Noumea,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Rhodes,airport,K Henson,2024-10-03,Cant fault this airport at all the staff are very friendly  helpful I found the experience of arrival  departure stress free Its nice  clean  one of the friendliest airports I have ever been to on my holidays abroad,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Addis Ababa,airport,Frank Rispin,2024-03-16,Check in and immigration fine Nice breakfast in London Cafe Smooth boarding for Windhoek from A Return Cape Town to Addis  Arrival At Bole smooth and quick no que at visa on arrival Luggage fine Out quickly,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Bandung,airport,Henri Bemelmans,2018-05-20,Not Verified The new airport is much better than the old but the issue with taxis remains The military controls the airport and hence which taxis are used No meters and extortionate fares Better off walking  minutes south on road outside arrivals right angle to airport terminal and pickup a bluebird or AA cab from there Clean and metered Pity the Government does not stop in and do something about this as it is a horrible welcome to what is otherwise a friendly and interesting city and region,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Privilege Style,airline,Abdal Ghafar,2020-01-25,Munich to Kabul Privilege Style is flying this  year old Boeing  on behalf of other customers as a charter airline The flight was okay  seats are comfortable enough and i felt safe throughout the journey,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Caribbean Airlines,airline,Morino Ravenberg,2023-06-22,I went to Jamaica for a week on vacation and I have no complaints regarding Caribbean airlines Not the best airline on the planet but theyre definitely by far not the worst  they are reasonable and if youre willing to spend a bit more than business class definitely is substantially more comfortable The only drawback that I can think of but that isnt their fault is the fact that on the return trip I had to make four stops in four different countries,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Iran Aseman Airlines,airline,M Kleine,2014-04-06,An old Fokker  departure and arrival on time very smooth landing proficient bilingual staff and excellent food omelette with herbs coleslaw and chicken,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Valladolid,airport,Karel Hladky,2008-07-25,A very tiny airport at  km to Valladolid Only a little number of flights a restaurant and a drinks and snacks machine Clean safe and quiet,0.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Jersey,airport,Julie Myatt,2019-08-01,Lots of seating Not enough electric plugs or charge points WiFi was hopeless  it didnt work Tannoy too loud Staff seem nice enough Appeared clean,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Atlantic Airways,airline,C Perkin,2011-08-23,Flew to Vagar Faroe Islands Smooth flight lasting  hrs  mins each way Flight attendants were friendly and efficient Seats comfortable and spacious adequate storage space for inflight luggage Free snacks served as well as alcoholic and nonalcoholic drinks,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Detroit,airport,Michelle Prephan,2023-07-14,Detroit Metro is always clean convenient and well maintained Staff is usually pleasant and helpful We travel through DTW about  times per year and we have always had a positive experience,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Hangzhou,airport,Thorkild Lykke,2007-07-16,New airport opened around  and much better than the old airport at the military airbase Plenty of checkin counters and smooth handling in security check First class lounge good As most Chinese airports it is noisy from continuous announcements,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Tontouta,airport,A McNicol,2013-05-05,Arrived on full QF from Sydney on  April Fantastic new airport that does credit to New Caledonia Clean modern and very quick from a full plane to bus transfer to Noumea,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Caribbean Airlines,airline,Morino Ravenberg,2023-06-22,I went to Jamaica for a week on vacation and I have no complaints regarding Caribbean airlines Not the best airline on the planet but theyre definitely by far not the worst  they are reasonable and if youre willing to spend a bit more than business class definitely is substantially more comfortable The only drawback that I can think of but that isnt their fault is the fact that on the return trip I had to make four stops in four different countries,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Nordavia,airline,2 reviewsDmitrii Egorov,2018-10-18,Saint Petersburg to Samara The airline is very good The cabin is clean and comfortable and with this always promised food and friendly staff As for the baggage allowance things are even better the baggage allowance is  kilograms,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Aerocaribbean,airline,Philip Jensen,2010-12-31,Havana  Cayo Coco return A one hour flight with an old ATR turboprop Seats surprisingly comfortable and we were offered a free drink plus candy onboard Nothing special but we arrived on time,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Granada,airport,Henry Tib,2011-12-03,Arrived on the last evening flight from Barcelona tourist desk very helpful and received our luggage within  minutes No taxis available so took the airport bus driver was very helpful and even dropped us a short distance from our hotel,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Port Moresby,airport,H Horas,2016-01-15,Domestic arrival was good canteen facilities are reasonably priced Toilet was clean in arrival hall International departure   money exchange facilities available The security check was not particularly friendly  boarding was smooth via gate  with Virgin Australia using an air bridge,2.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Rio De Janeiro,airport,E Kanapov,2019-06-02,The airport was renovated in  before the Olympic games it looks like Miami International Airport nothing special good duty free some good lounges all in all good airport with some problems with queues and not so friendly staff,6.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Copenhagen,airport,Yu-Hsiu Chang,2023-10-28,It is easily accessible from the city center by metro within  minutes It is clean and modern Employees are friendly and helpful Signposts are clear Goods are bountiful,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Hakodate,airport,12 reviewsK Huang,2024-05-05,Small airport which was about  minutes on bus to the city center Facilities was good and clean Baggage claim was fast and thoughtful as at many other Japanese airports Signs and directions were also clearly noted in English,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Uzbekistan Airways,airline,45 reviewsJ Lupu,2023-09-18,Checkin prolonged because their system was not updated concerning visa regulations Boarding efficient with bus transfer Cabin crew  nice ladies with friendly approach Free drinks were served There was free wiif onboard Flight was on time Entertainment without headsets,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Novair,airline,Ulf Källén,2011-03-21,I have went with Novair four times OSLLPA x OSLTFS OSLFUE Great service good looking planes comfortable seats No delays new clean A The only less good thing  the food,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Toulon,airport,19 reviewsLaurent Charpentier,2018-10-22,Departed on  october  to Paris Orly abd back on  October  Airport very clean opened early in the morning Check In and Security Checks are easy early in the morning,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
TransAsia Airways,airline,M Wharfe,2010-12-04,Taipei  Hualein  TaiChung Both flights by ATR cabin was clean and comfortable Very friendly crew Drinks service on both flights,6.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Rio De Janeiro,airport,E Kanapov,2019-06-02,The airport was renovated in  before the Olympic games it looks like Miami International Airport nothing special good duty free some good lounges all in all good airport with some problems with queues and not so friendly staff,6.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Ercan,airport,U Mustafa,2012-12-13,Small but very clean airport disembarking to exiting airport   mins minimal duty free shops on arrival but more extensive on departure area Very security conscious on entry and exit All in all a walk in the park no hassle,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Addis Ababa,airport,Frank Rispin,2024-03-16,Check in and immigration fine Nice breakfast in London Cafe Smooth boarding for Windhoek from A Return Cape Town to Addis  Arrival At Bole smooth and quick no que at visa on arrival Luggage fine Out quickly,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Cathay Pacific Airways,airline,T Patrick,2025-03-14,Plane clean and on time Ran out of water after row  economy Its a short flight so bring back water in seat pockets of you cant cope  No coffee tea or drinks for anyone,2.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
